FR_hip,FR_thigh,FR_calf,FL_hip,FL_thigh,FL_calf,RR_hip,RR_thigh,RR_calf,RL_hip,RL_thigh,RL_calf
4.553284645080566406e-01,5.757350921630859375e-01,-6.366114616394042969e-01,-4.747395515441894531e-01,-7.785413265228271484e-01,-5.947384834289550781e-01,-3.646230697631835938e-01,-7.888593673706054688e-01,-1.403207778930664062e-01,-3.922033309936523438e-02,-3.194959163665771484e-01,-3.061459064483642578e-01
-1.670272350311279297e-01,-8.270528316497802734e-01,-3.589582443237304688e-02,-7.513520717620849609e-01,9.443943500518798828e-01,-3.666472434997558594e-01,4.829351902008056641e-01,5.001590251922607422e-01,9.968311786651611328e-01,-6.181428432464599609e-01,8.079917430877685547e-01,-4.009575843811035156e-01
-3.070819377899169922e-01,-3.298668861389160156e-01,-7.162673473358154297e-01,-8.788194656372070312e-01,9.865953922271728516e-01,5.386784076690673828e-01,-5.177350044250488281e-01,5.831663608551025391e-01,9.502897262573242188e-01,7.702894210815429688e-01,-7.086200714111328125e-01,9.717185497283935547e-01
4.992997646331787109e-01,-3.891992568969726562e-01,-2.235934734344482422e-01,9.576454162597656250e-01,4.592163562774658203e-01,-9.456171989440917969e-01,-9.948368072509765625e-01,-9.237687587738037109e-01,-7.737853527069091797e-01,-9.611239433288574219e-01,9.428260326385498047e-01,8.122632503509521484e-01
7.768437862396240234e-01,-5.759093761444091797e-01,3.027405738830566406e-01,-7.729215621948242188e-01,3.706240653991699219e-01,1.987795829772949219e-01,6.566715240478515625e-02,-4.079806804656982422e-01,-2.573840618133544922e-01,5.588684082031250000e-01,8.805871009826660156e-02,1.854181289672851562e-01
5.856697559356689453e-01,-7.023091316223144531e-01,-7.474732398986816406e-02,8.025846481323242188e-01,-5.920250415802001953e-01,4.193446636199951172e-01,-7.940480709075927734e-01,9.095997810363769531e-01,-6.763243675231933594e-02,-5.666470527648925781e-02,1.556520462036132812e-01,8.162593841552734375e-01
-6.965961456298828125e-01,-2.499194145202636719e-01,9.580078125000000000e-01,4.310274124145507812e-01,2.152299880981445312e-01,-3.822517395019531250e-01,1.057138442993164062e-01,7.203440666198730469e-01,7.063143253326416016e-01,-5.760111808776855469e-01,4.283199310302734375e-01,6.597874164581298828e-01
-3.535943031311035156e-01,-9.312605857849121094e-01,7.511806488037109375e-02,-7.553572654724121094e-01,4.401504993438720703e-01,5.894465446472167969e-01,-7.884910106658935547e-01,3.667819499969482422e-01,2.999505996704101562e-01,4.681205749511718750e-01,6.752233505249023438e-01,1.691508293151855469e-01
4.671235084533691406e-01,-4.106397628784179688e-01,1.079487800598144531e-01,-8.886446952819824219e-01,-1.674036979675292969e-01,2.404878139495849609e-01,4.909546375274658203e-01,-5.833654403686523438e-01,9.566001892089843750e-01,5.475013256072998047e-01,-9.268469810485839844e-01,-8.200609683990478516e-01
1.235373020172119141e-01,-9.393811225891113281e-01,2.863314151763916016e-01,9.284985065460205078e-01,1.689002513885498047e-01,-1.807146072387695312e-01,4.403235912322998047e-01,-3.363163471221923828e-01,9.941864013671875000e-02,-8.506910800933837891e-01,6.987571716308593750e-02,-9.252519607543945312e-01
-9.974744319915771484e-01,-7.801032066345214844e-02,7.776782512664794922e-01,-7.879853248596191406e-02,4.865052700042724609e-01,-4.779651165008544922e-01,-6.518445014953613281e-01,-5.153443813323974609e-01,1.295838356018066406e-01,-2.350769042968750000e-01,-2.260522842407226562e-01,-3.603157997131347656e-01
7.956216335296630859e-01,-6.876995563507080078e-01,5.824661254882812500e-02,9.473981857299804688e-01,-2.026796340942382812e-02,-3.621604442596435547e-01,9.516382217407226562e-02,-4.150316715240478516e-01,5.459711551666259766e-01,6.623129844665527344e-01,-3.850936889648437500e-03,7.366878986358642578e-01
6.751646995544433594e-01,8.711597919464111328e-01,4.101028442382812500e-01,5.387272834777832031e-01,2.146594524383544922e-01,-1.654410362243652344e-02,-3.274643421173095703e-01,-8.778614997863769531e-01,-6.615967750549316406e-01,-7.700960636138916016e-01,-5.942645072937011719e-01,1.581525802612304688e-01
-6.587982177734375000e-03,-8.111953735351562500e-02,5.067524909973144531e-01,-9.538879394531250000e-01,9.809396266937255859e-01,3.342432975769042969e-01,-5.745506286621093750e-01,1.687796115875244141e-01,-7.540402412414550781e-01,-7.922370433807373047e-01,-4.412300586700439453e-01,8.634912967681884766e-01
4.044976234436035156e-01,3.132138252258300781e-01,-5.806510448455810547e-01,-5.818002223968505859e-01,9.807438850402832031e-01,6.125073432922363281e-01,3.758766651153564453e-01,-3.203387260437011719e-01,-5.973985195159912109e-01,2.869307994842529297e-01,5.329520702362060547e-01,-9.373815059661865234e-01
6.513624191284179688e-01,-5.180227756500244141e-01,1.144671440124511719e-01,4.414172172546386719e-01,6.933174133300781250e-01,7.761337757110595703e-01,-1.475517749786376953e-01,-9.117627143859863281e-01,7.315015792846679688e-01,-8.459305763244628906e-02,-7.379980087280273438e-01,9.445106983184814453e-01
